"country","mes","cancelaciones_mensuales","personas_mensuales","reservas_mensuales","cancelaciones_acumuladas","personas_acumuladas","reservas_acumuladas","ratio_cancelaciones","region","country_name"
"ZAF",2017-05-01,5,20,9,27,115,60,45,"Africa","South Africa"
"AGO",2017-06-01,4,9,6,195,616,343,56.9,"Africa","Angola"
"ARE",2017-06-01,4,10,4,41,104,47,87.2,"Africa","United Arab Emirates"
"ARG",2017-06-01,7,40,18,49,423,197,24.9,"Americas","Argentina"
"AUS",2017-06-01,16,94,46,82,703,350,23.4,"Asia","Australia"
"AUT",2017-06-01,15,152,74,208,2267,1152,18.1,"Europe","Austria"
"BEL",2017-06-01,29,236,114,380,4070,1995,19,"Europe","Belgium"
"BGD",2017-06-01,1,4,1,8,29,11,72.7,"Asia","Bangladesh"
"BGR",2017-06-01,0,9,5,12,137,70,17.1,"Europe","Bulgaria"
"BLR",2017-06-01,0,2,1,4,30,19,21.1,"Europe","Belarus"
"BRA",2017-06-01,43,230,99,738,4321,1988,37.1,"Americas","Brazil"
"CHE",2017-06-01,20,180,90,323,3073,1479,21.8,"Europe","Switzerland"
"CHL",2017-06-01,0,4,2,15,129,60,25,"Americas","Chile"
"CHN",2017-06-01,36,322,158,615,3921,1943,31.7,"Asia","China"
"COL",2017-06-01,0,7,4,20,122,58,34.5,"Americas","Colombia"
"CRI",2017-06-01,0,1,1,1,37,19,5.3,"Americas","Costa Rica"
"CYP",2017-06-01,0,2,1,10,71,46,21.7,"Europe","Cyprus"
"CZE",2017-06-01,2,10,5,36,295,157,22.9,"Europe","Czechia"
"DEU",2017-06-01,71,848,426,1039,12327,6358,16.3,"Europe","Germany"
"DNK",2017-06-01,4,49,26,84,720,344,24.4,"Europe","Denmark"
"DOM",2017-06-01,2,3,2,3,17,9,33.3,"Americas","Dominican Republic"
"DZA",2017-06-01,0,3,2,21,169,99,21.2,"Africa","Algeria"
"ESP",2017-06-01,89,469,213,1795,15838,7553,23.8,"Europe","Spain"
"EST",2017-06-01,0,6,3,17,162,78,21.8,"Europe","Estonia"
"FIN",2017-06-01,3,46,23,65,843,416,15.6,"Europe","Finland"
"FRA",2017-06-01,120,905,428,1643,19480,9469,17.4,"Europe","France"
"GBR",2017-06-01,233,1738,843,2093,21539,10738,19.5,"Europe","United Kingdom"
"GRC",2017-06-01,0,6,3,33,207,121,27.3,"Europe","Greece"
"HKG",2017-06-01,2,4,2,23,49,25,92,"Asia","Hong Kong SAR China"
"HRV",2017-06-01,9,27,12,24,190,96,25,"Europe","Croatia"
"HUN",2017-06-01,3,29,13,69,399,196,35.2,"Europe","Hungary"
"IDN",2017-06-01,3,8,4,22,62,33,66.7,"Asia","Indonesia"
"IND",2017-06-01,4,26,10,34,318,144,23.6,"Asia","India"
"IRL",2017-06-01,118,653,295,720,6211,3059,23.5,"Europe","Ireland"
"IRN",2017-06-01,4,14,7,20,148,73,27.4,"Africa","Iran"
"ISL",2017-06-01,0,2,1,4,100,53,7.5,"Europe","Iceland"
"ISR",2017-06-01,20,78,39,152,1243,625,24.3,"Africa","Israel"
"ITA",2017-06-01,43,244,111,1144,7057,3397,33.7,"Europe","Italy"
"JEY",2017-06-01,1,4,1,8,19,8,100,"Europe","Jersey"
"JOR",2017-06-01,0,2,1,1,20,14,7.1,"Africa","Jordan"
"JPN",2017-06-01,1,17,11,24,340,171,14,"Asia","Japan"
"KAZ",2017-06-01,1,4,1,4,28,15,26.7,"Europe","Kazakhstan"
"KEN",2017-06-01,0,3,1,2,15,6,33.3,"Africa","Kenya"
"KOR",2017-06-01,3,11,6,53,248,124,42.7,"Asia","South Korea"
"LBN",2017-06-01,2,4,2,8,54,27,29.6,"Africa","Lebanon"
"LTU",2017-06-01,1,5,2,6,147,76,7.9,"Europe","Lithuania"
"LUX",2017-06-01,8,54,22,87,494,233,37.3,"Europe","Luxembourg"
"LVA",2017-06-01,1,4,2,7,103,52,13.5,"Europe","Latvia"
"MAC",2017-06-01,1,3,2,15,27,16,93.8,"Asia","Macao SAR China"
"MAR",2017-06-01,1,8,4,72,435,203,35.5,"Africa","Morocco"
"MDV",2017-06-01,1,5,2,8,23,11,72.7,"Asia","Maldives"
"MEX",2017-06-01,1,6,3,10,127,68,14.7,"Americas","Mexico"
"MLT",2017-06-01,0,2,1,5,33,18,27.8,"Africa","Malta"
"MNE",2017-06-01,1,3,1,2,10,5,40,"Europe","Montenegro"
"MOZ",2017-06-01,1,2,1,13,99,53,24.5,"Africa","Mozambique"
"MYT",2017-06-01,1,2,1,1,2,1,100,"Other","Mayotte"
"NGA",2017-06-01,1,3,1,21,66,33,63.6,"Africa","Nigeria"
"NLD",2017-06-01,27,202,102,337,3779,1908,17.7,"Europe","Netherlands"
"NOR",2017-06-01,19,120,50,139,1032,492,28.3,"Europe","Norway"
"NZL",2017-06-01,0,16,7,6,136,71,8.5,"Asia","New Zealand"
"OMN",2017-06-01,1,4,1,4,39,17,23.5,"Africa","Oman"
"PAK",2017-06-01,2,11,4,9,27,13,69.2,"Asia","Pakistan"
"PER",2017-06-01,0,10,5,6,51,29,20.7,"Americas","Peru"
"PHL",2017-06-01,4,14,6,15,50,23,65.2,"Asia","Philippines"
"POL",2017-06-01,21,124,53,193,1794,847,22.8,"Europe","Poland"
"PRI",2017-06-01,0,1,1,2,19,12,16.7,"Americas","Puerto Rico"
"ROU",2017-06-01,6,58,23,109,868,422,25.8,"Europe","Romania"
"RUS",2017-06-01,16,82,34,193,1112,542,35.6,"Europe","Russia"
"SAU",2017-06-01,2,8,4,31,83,43,72.1,"Africa","Saudi Arabia"
