"country","mes","cancelaciones_mensuales","personas_mensuales","reservas_mensuales","cancelaciones_acumuladas","personas_acumuladas","reservas_acumuladas","ratio_cancelaciones","region","country_name"
"NZL",2015-07-01,0,2,1,0,2,1,0,"Asia","New Zealand"
"OMN",2015-07-01,0,2,1,0,2,1,0,"Africa","Oman"
"POL",2015-07-01,0,14,7,0,14,7,0,"Europe","Poland"
"ROU",2015-07-01,0,26,11,0,26,11,0,"Europe","Romania"
"RUS",2015-07-01,0,11,6,0,11,6,0,"Europe","Russia"
"SVN",2015-07-01,0,2,1,0,2,1,0,"Europe","Slovenia"
"SWE",2015-07-01,0,19,8,0,19,8,0,"Europe","Sweden"
"USA",2015-07-01,0,43,17,0,43,17,0,"Americas","United States"
"AGO",2015-08-01,0,23,14,0,23,14,0,"Africa","Angola"
"ARG",2015-08-01,0,4,2,0,9,4,0,"Americas","Argentina"
"AUS",2015-08-01,0,7,4,0,11,6,0,"Asia","Australia"
"AUT",2015-08-01,0,12,6,0,21,9,0,"Europe","Austria"
"BEL",2015-08-01,0,49,24,0,68,32,0,"Europe","Belgium"
"BGR",2015-08-01,0,3,2,0,3,2,0,"Europe","Bulgaria"
"BRA",2015-08-01,0,31,14,0,84,38,0,"Americas","Brazil"
"CHE",2015-08-01,0,40,19,0,85,36,0,"Europe","Switzerland"
"CHN",2015-08-01,0,32,14,0,89,38,0,"Asia","China"
"COL",2015-08-01,0,3,1,0,3,1,0,"Americas","Colombia"
"DEU",2015-08-01,0,129,69,0,167,87,0,"Europe","Germany"
"DNK",2015-08-01,0,6,2,0,17,7,0,"Europe","Denmark"
"DZA",2015-08-01,0,4,2,0,4,2,0,"Africa","Algeria"
"ESP",2015-08-01,40,1027,489,40,1423,673,5.9,"Europe","Spain"
"FIN",2015-08-01,0,2,1,0,15,7,0,"Europe","Finland"
"FRA",2015-08-01,1,376,179,1,418,199,0.5,"Europe","France"
"GBR",2015-08-01,0,233,109,0,530,253,0,"Europe","United Kingdom"
"GRC",2015-08-01,0,1,1,0,3,2,0,"Europe","Greece"
"HRV",2015-08-01,0,2,1,0,4,2,0,"Europe","Croatia"
"IND",2015-08-01,0,3,1,0,3,1,0,"Asia","India"
"IRL",2015-08-01,0,153,71,0,298,141,0,"Europe","Ireland"
"ISR",2015-08-01,0,38,25,0,44,28,0,"Africa","Israel"
"ITA",2015-08-01,67,389,197,116,517,261,44.4,"Europe","Italy"
"KAZ",2015-08-01,0,2,1,0,2,1,0,"Europe","Kazakhstan"
"LUX",2015-08-01,0,10,4,0,18,7,0,"Europe","Luxembourg"
"LVA",2015-08-01,0,3,1,0,3,1,0,"Europe","Latvia"
"MAR",2015-08-01,0,20,9,0,22,10,0,"Africa","Morocco"
"MEX",2015-08-01,0,6,4,0,6,4,0,"Americas","Mexico"
"MOZ",2015-08-01,1,6,3,1,11,5,20,"Africa","Mozambique"
"NLD",2015-08-01,0,51,24,0,80,38,0,"Europe","Netherlands"
"NOR",2015-08-01,0,17,8,0,38,17,0,"Europe","Norway"
"NULL",2015-08-01,0,26,12,0,47,25,0,"Other","Other"
"NZL",2015-08-01,0,3,1,0,5,2,0,"Asia","New Zealand"
"POL",2015-08-01,0,35,17,0,49,24,0,"Europe","Poland"
"ROU",2015-08-01,0,32,14,0,58,25,0,"Europe","Romania"
"RUS",2015-08-01,4,91,47,4,102,53,7.5,"Europe","Russia"
"SVN",2015-08-01,0,10,3,0,12,4,0,"Europe","Slovenia"
"SWE",2015-08-01,0,10,5,0,29,13,0,"Europe","Sweden"
"TUN",2015-08-01,0,4,2,0,4,2,0,"Africa","Tunisia"
"UKR",2015-08-01,0,1,1,0,1,1,0,"Europe","Ukraine"
"USA",2015-08-01,0,45,22,0,88,39,0,"Americas","United States"
"VEN",2015-08-01,0,4,1,0,4,1,0,"Americas","Venezuela"
"AGO",2015-09-01,0,33,19,0,56,33,0,"Africa","Angola"
"ARG",2015-09-01,0,3,2,0,12,6,0,"Americas","Argentina"
"AUS",2015-09-01,0,20,10,0,31,16,0,"Asia","Australia"
"AUT",2015-09-01,0,34,18,0,55,27,0,"Europe","Austria"
"AZE",2015-09-01,0,3,2,0,3,2,0,"Europe","Azerbaijan"
"BEL",2015-09-01,15,134,69,15,202,101,14.9,"Europe","Belgium"
"BLR",2015-09-01,0,6,4,0,6,4,0,"Europe","Belarus"
"BRA",2015-09-01,0,74,37,0,158,75,0,"Americas","Brazil"
"CHE",2015-09-01,0,55,30,0,140,66,0,"Europe","Switzerland"
"CHL",2015-09-01,0,2,1,0,2,1,0,"Americas","Chile"
"CHN",2015-09-01,0,151,78,0,240,116,0,"Asia","China"
"CPV",2015-09-01,0,1,1,0,1,1,0,"Africa","Cape Verde"
"CRI",2015-09-01,0,2,1,0,2,1,0,"Americas","Costa Rica"
"CZE",2015-09-01,0,15,8,0,17,9,0,"Europe","Czechia"
"DEU",2015-09-01,2,238,128,2,405,215,0.9,"Europe","Germany"
"DNK",2015-09-01,0,41,24,0,58,31,0,"Europe","Denmark"
"DZA",2015-09-01,0,2,1,0,6,3,0,"Africa","Algeria"
"EGY",2015-09-01,0,1,1,0,1,1,0,"Africa","Egypt"
"ESP",2015-09-01,4,622,303,44,2045,976,4.5,"Europe","Spain"
"EST",2015-09-01,0,4,2,0,8,3,0,"Europe","Estonia"
"FIN",2015-09-01,0,4,4,0,19,11,0,"Europe","Finland"
"FRA",2015-09-01,30,689,388,31,1107,587,5.3,"Europe","France"
"GBR",2015-09-01,92,696,392,92,1226,645,14.3,"Europe","United Kingdom"
"GRC",2015-09-01,0,20,12,0,23,14,0,"Europe","Greece"
"HRV",2015-09-01,0,2,2,0,6,4,0,"Europe","Croatia"
"HUN",2015-09-01,0,8,5,0,10,6,0,"Europe","Hungary"
"IDN",2015-09-01,0,1,1,0,5,2,0,"Asia","Indonesia"
"IND",2015-09-01,0,13,5,0,16,6,0,"Asia","India"
"IRL",2015-09-01,41,351,175,41,649,316,13,"Europe","Ireland"
"IRN",2015-09-01,1,12,9,1,12,9,11.1,"Africa","Iran"
"ISR",2015-09-01,0,20,9,0,64,37,0,"Africa","Israel"
"ITA",2015-09-01,2,218,116,118,735,377,31.3,"Europe","Italy"
"JPN",2015-09-01,0,10,7,0,10,7,0,"Asia","Japan"
"KAZ",2015-09-01,0,4,2,0,6,3,0,"Europe","Kazakhstan"
"KOR",2015-09-01,0,7,3,0,7,3,0,"Asia","South Korea"
"LBN",2015-09-01,0,4,2,0,4,2,0,"Africa","Lebanon"
"LIE",2015-09-01,0,2,1,0,2,1,0,"Europe","Liechtenstein"
"LTU",2015-09-01,0,12,6,0,12,6,0,"Europe","Lithuania"
"LUX",2015-09-01,0,24,13,0,42,20,0,"Europe","Luxembourg"
"LVA",2015-09-01,0,15,9,0,18,10,0,"Europe","Latvia"
"MAR",2015-09-01,0,4,2,0,26,12,0,"Africa","Morocco"
"MEX",2015-09-01,0,5,3,0,11,7,0,"Americas","Mexico"
"MOZ",2015-09-01,0,2,1,1,13,6,16.7,"Africa","Mozambique"
"NLD",2015-09-01,0,88,53,0,168,91,0,"Europe","Netherlands"
"NOR",2015-09-01,0,26,14,0,64,31,0,"Europe","Norway"
"NULL",2015-09-01,16,54,30,16,101,55,29.1,"Other","Other"
"NZL",2015-09-01,0,6,4,0,11,6,0,"Asia","New Zealand"
"OMN",2015-09-01,0,2,1,0,4,2,0,"Africa","Oman"
"POL",2015-09-01,0,30,15,0,79,39,0,"Europe","Poland"
"PRI",2015-09-01,0,3,1,0,3,1,0,"Americas","Puerto Rico"
"ROU",2015-09-01,0,20,10,0,78,35,0,"Europe","Romania"
"RUS",2015-09-01,0,35,21,4,137,74,5.4,"Europe","Russia"
"SRB",2015-09-01,0,5,2,0,5,2,0,"Europe","Serbia"
"SVK",2015-09-01,0,4,2,0,4,2,0,"Europe","Slovakia"
"SVN",2015-09-01,0,2,2,0,14,6,0,"Europe","Slovenia"
"SWE",2015-09-01,0,89,66,0,118,79,0,"Europe","Sweden"
"THA",2015-09-01,0,2,1,0,2,1,0,"Asia","Thailand"
"TUN",2015-09-01,0,4,2,0,8,4,0,"Africa","Tunisia"
"TUR",2015-09-01,1,8,4,1,8,4,25,"Europe","Turkey"
"TWN",2015-09-01,0,4,2,0,4,2,0,"Asia","Taiwan"
"UKR",2015-09-01,0,8,3,0,9,4,0,"Europe","Ukraine"
"USA",2015-09-01,0,91,57,0,179,96,0,"Americas","United States"
"VEN",2015-09-01,0,1,1,0,5,2,0,"Americas","Venezuela"
"AGO",2015-10-01,0,6,3,0,62,36,0,"Africa","Angola"
"ARG",2015-10-01,0,11,6,0,23,12,0,"Americas","Argentina"
"AUS",2015-10-01,0,9,5,0,40,21,0,"Asia","Australia"
"AUT",2015-10-01,0,26,17,0,81,44,0,"Europe","Austria"
"BEL",2015-10-01,0,93,51,15,295,152,9.9,"Europe","Belgium"
"BGR",2015-10-01,0,2,1,0,5,3,0,"Europe","Bulgaria"
"BRA",2015-10-01,0,62,30,0,220,105,0,"Americas","Brazil"
"CHE",2015-10-01,0,68,33,0,208,99,0,"Europe","Switzerland"
"CHL",2015-10-01,0,6,2,0,8,3,0,"Americas","Chile"
"CHN",2015-10-01,12,55,30,12,295,146,8.2,"Asia","China"
"COL",2015-10-01,0,4,2,0,7,3,0,"Americas","Colombia"
"CPV",2015-10-01,0,2,1,0,3,2,0,"Africa","Cape Verde"
"CRI",2015-10-01,0,2,1,0,4,2,0,"Americas","Costa Rica"
"CZE",2015-10-01,0,15,10,0,32,19,0,"Europe","Czechia"
"DEU",2015-10-01,0,295,157,2,700,372,0.5,"Europe","Germany"
"DNK",2015-10-01,0,10,6,0,68,37,0,"Europe","Denmark"
"DOM",2015-10-01,0,4,2,0,4,2,0,"Americas","Dominican Republic"
"DZA",2015-10-01,0,17,16,0,23,19,0,"Africa","Algeria"
"ESP",2015-10-01,56,600,308,100,2645,1284,7.8,"Europe","Spain"
"FIN",2015-10-01,0,36,17,0,55,28,0,"Europe","Finland"
"FRA",2015-10-01,1,643,321,32,1750,908,3.5,"Europe","France"
"GBR",2015-10-01,23,851,453,115,2077,1098,10.5,"Europe","United Kingdom"
"GRC",2015-10-01,0,8,6,0,31,20,0,"Europe","Greece"
"HRV",2015-10-01,0,4,2,0,10,6,0,"Europe","Croatia"
"HUN",2015-10-01,0,12,8,0,22,14,0,"Europe","Hungary"
"IND",2015-10-01,0,4,3,0,20,9,0,"Asia","India"
"IRL",2015-10-01,25,225,112,66,874,428,15.4,"Europe","Ireland"
"IRN",2015-10-01,0,2,1,1,14,10,10,"Africa","Iran"
"ISR",2015-10-01,0,157,80,0,221,117,0,"Africa","Israel"
"ITA",2015-10-01,0,128,73,118,863,450,26.2,"Europe","Italy"
"JPN",2015-10-01,0,9,7,0,19,14,0,"Asia","Japan"
"KOR",2015-10-01,1,6,3,1,13,6,16.7,"Asia","South Korea"
"LBN",2015-10-01,0,5,3,0,9,5,0,"Africa","Lebanon"
"LTU",2015-10-01,0,9,4,0,21,10,0,"Europe","Lithuania"
"LUX",2015-10-01,0,11,5,0,53,25,0,"Europe","Luxembourg"
"LVA",2015-10-01,0,6,3,0,24,13,0,"Europe","Latvia"
"MAR",2015-10-01,0,4,2,0,30,14,0,"Africa","Morocco"
"MEX",2015-10-01,0,4,3,0,15,10,0,"Americas","Mexico"
"MKD",2015-10-01,0,5,1,0,5,1,0,"Europe","North Macedonia"
"MYS",2015-10-01,0,6,3,0,6,3,0,"Asia","Malaysia"
"NLD",2015-10-01,0,113,58,0,281,149,0,"Europe","Netherlands"
"NOR",2015-10-01,0,17,10,0,81,41,0,"Europe","Norway"
"NULL",2015-10-01,16,60,38,32,161,93,34.4,"Other","Other"
"NZL",2015-10-01,0,3,1,0,14,7,0,"Asia","New Zealand"
"OMN",2015-10-01,0,1,1,0,5,3,0,"Africa","Oman"
"POL",2015-10-01,0,59,29,0,138,68,0,"Europe","Poland"
"PRI",2015-10-01,0,2,1,0,5,2,0,"Americas","Puerto Rico"
"ROU",2015-10-01,0,15,10,0,93,45,0,"Europe","Romania"
"RUS",2015-10-01,0,12,7,4,149,81,4.9,"Europe","Russia"
"SAU",2015-10-01,0,4,2,0,4,2,0,"Africa","Saudi Arabia"
"SGP",2015-10-01,0,2,1,0,2,1,0,"Asia","Singapore"
"SRB",2015-10-01,0,4,2,0,9,4,0,"Europe","Serbia"
"SVN",2015-10-01,0,5,4,0,19,10,0,"Europe","Slovenia"
"SWE",2015-10-01,0,61,34,0,179,113,0,"Europe","Sweden"
"TUR",2015-10-01,0,25,13,1,33,17,5.9,"Europe","Turkey"
"USA",2015-10-01,0,89,51,0,268,147,0,"Americas","United States"
"VEN",2015-10-01,0,5,3,0,10,5,0,"Americas","Venezuela"
"ZAF",2015-10-01,0,4,1,0,4,1,0,"Africa","South Africa"
"ZMB",2015-10-01,0,4,1,0,4,1,0,"Africa","Zambia"
"AGO",2015-11-01,1,6,5,1,68,41,2.4,"Africa","Angola"
"ARG",2015-11-01,0,1,1,0,24,13,0,"Americas","Argentina"
"ARM",2015-11-01,0,2,1,0,2,1,0,"Europe","Armenia"
"AUS",2015-11-01,0,8,4,0,48,25,0,"Asia","Australia"
"AUT",2015-11-01,0,55,45,0,136,89,0,"Europe","Austria"
"BEL",2015-11-01,0,56,28,15,351,180,8.3,"Europe","Belgium"
"BGR",2015-11-01,0,1,1,0,6,4,0,"Europe","Bulgaria"
"BLR",2015-11-01,0,4,3,0,10,7,0,"Europe","Belarus"
"BRA",2015-11-01,0,30,16,0,250,121,0,"Americas","Brazil"
"CHE",2015-11-01,0,27,15,0,235,114,0,"Europe","Switzerland"
"CHL",2015-11-01,0,8,4,0,16,7,0,"Americas","Chile"
"CHN",2015-11-01,0,11,6,12,306,152,7.9,"Asia","China"
"COL",2015-11-01,0,1,1,0,8,4,0,"Americas","Colombia"
"CRI",2015-11-01,0,2,1,0,6,3,0,"Americas","Costa Rica"
"CZE",2015-11-01,0,12,8,0,44,27,0,"Europe","Czechia"
"DEU",2015-11-01,0,123,74,2,823,446,0.4,"Europe","Germany"
"DNK",2015-11-01,0,2,2,0,70,39,0,"Europe","Denmark"
"DZA",2015-11-01,0,5,5,0,28,24,0,"Africa","Algeria"
"EGY",2015-11-01,0,3,3,0,4,4,0,"Africa","Egypt"
"ESP",2015-11-01,0,344,190,100,2989,1474,6.8,"Europe","Spain"
"FIN",2015-11-01,0,17,9,0,72,37,0,"Europe","Finland"
"FRA",2015-11-01,2,394,226,34,2144,1134,3,"Europe","France"
"GBR",2015-11-01,0,231,128,115,2308,1226,9.4,"Europe","United Kingdom"
"GEO",2015-11-01,0,1,1,0,1,1,0,"Europe","Georgia"
"GIB",2015-11-01,0,8,4,0,8,4,0,"Europe","Gibraltar"
"GRC",2015-11-01,0,6,4,0,37,24,0,"Europe","Greece"
"HRV",2015-11-01,0,3,2,0,13,8,0,"Europe","Croatia"
"HUN",2015-11-01,0,10,6,0,32,20,0,"Europe","Hungary"
"IDN",2015-11-01,0,2,1,0,7,3,0,"Asia","Indonesia"
"IND",2015-11-01,0,12,10,0,32,19,0,"Asia","India"
"IRL",2015-11-01,0,37,20,66,911,448,14.7,"Europe","Ireland"
"IRN",2015-11-01,0,2,2,1,16,12,8.3,"Africa","Iran"
"ISR",2015-11-01,0,10,7,0,231,124,0,"Africa","Israel"
"ITA",2015-11-01,3,56,32,121,919,482,25.1,"Europe","Italy"
"JOR",2015-11-01,0,9,6,0,9,6,0,"Africa","Jordan"
"JPN",2015-11-01,0,6,3,0,25,17,0,"Asia","Japan"
"KOR",2015-11-01,0,6,4,1,19,10,10,"Asia","South Korea"
"KWT",2015-11-01,0,2,1,0,2,1,0,"Africa","Kuwait"
"LBN",2015-11-01,0,3,2,0,12,7,0,"Africa","Lebanon"
"LTU",2015-11-01,0,3,2,0,24,12,0,"Europe","Lithuania"
"LUX",2015-11-01,0,4,2,0,57,27,0,"Europe","Luxembourg"
"MAR",2015-11-01,0,6,3,0,36,17,0,"Africa","Morocco"
"MEX",2015-11-01,0,6,4,0,21,14,0,"Americas","Mexico"
"MYS",2015-11-01,0,3,2,0,9,5,0,"Asia","Malaysia"
"NGA",2015-11-01,0,2,1,0,2,1,0,"Africa","Nigeria"
"NLD",2015-11-01,0,58,35,0,339,184,0,"Europe","Netherlands"
"NOR",2015-11-01,0,5,4,0,86,45,0,"Europe","Norway"
"NULL",2015-11-01,0,22,20,32,183,113,28.3,"Other","Other"
"NZL",2015-11-01,0,2,2,0,16,9,0,"Asia","New Zealand"
"PER",2015-11-01,0,2,2,0,2,2,0,"Americas","Peru"
"POL",2015-11-01,0,36,17,0,174,85,0,"Europe","Poland"
"ROU",2015-11-01,0,4,3,0,97,48,0,"Europe","Romania"
"RUS",2015-11-01,0,17,8,4,166,89,4.5,"Europe","Russia"
"SAU",2015-11-01,0,1,1,0,5,3,0,"Africa","Saudi Arabia"
"SEN",2015-11-01,0,2,1,0,2,1,0,"Africa","Senegal"
"SGP",2015-11-01,0,2,1,0,4,2,0,"Asia","Singapore"
"SVK",2015-11-01,0,3,2,0,7,4,0,"Europe","Slovakia"
"SVN",2015-11-01,0,1,1,0,20,11,0,"Europe","Slovenia"
"SWE",2015-11-01,0,9,7,0,188,120,0,"Europe","Sweden"
"THA",2015-11-01,0,1,1,0,3,2,0,"Asia","Thailand"
"TUN",2015-11-01,0,1,1,0,9,5,0,"Africa","Tunisia"
"TUR",2015-11-01,0,12,7,1,45,24,4.2,"Europe","Turkey"
"TWN",2015-11-01,0,1,1,0,5,3,0,"Asia","Taiwan"
"UKR",2015-11-01,0,4,2,0,13,6,0,"Europe","Ukraine"
"USA",2015-11-01,0,26,16,0,294,163,0,"Americas","United States"
"VEN",2015-11-01,0,4,2,0,14,7,0,"Americas","Venezuela"
"ZAF",2015-11-01,0,1,1,0,5,2,0,"Africa","South Africa"
"ZWE",2015-11-01,0,2,1,0,2,1,0,"Africa","Zimbabwe"
"AGO",2015-12-01,3,7,6,4,75,47,8.5,"Africa","Angola"
"ALB",2015-12-01,0,2,1,0,4,2,0,"Europe","Albania"
"ARG",2015-12-01,0,2,1,0,26,14,0,"Americas","Argentina"
"AUS",2015-12-01,0,4,2,0,52,27,0,"Asia","Australia"
"AUT",2015-12-01,0,34,20,0,170,109,0,"Europe","Austria"
"BEL",2015-12-01,2,61,31,17,412,211,8.1,"Europe","Belgium"
"BLR",2015-12-01,0,2,1,0,12,8,0,"Europe","Belarus"
"BRA",2015-12-01,5,56,27,5,306,148,3.4,"Americas","Brazil"
"CHE",2015-12-01,0,42,20,0,277,134,0,"Europe","Switzerland"
"CHN",2015-12-01,0,34,17,12,340,169,7.1,"Asia","China"
"CRI",2015-12-01,0,8,4,0,14,7,0,"Americas","Costa Rica"
"CZE",2015-12-01,0,2,1,0,46,28,0,"Europe","Czechia"
"DEU",2015-12-01,0,93,53,2,916,499,0.4,"Europe","Germany"
"DZA",2015-12-01,0,4,2,0,32,26,0,"Africa","Algeria"
"ECU",2015-12-01,0,2,1,0,2,1,0,"Americas","Ecuador"
"EGY",2015-12-01,0,2,1,0,6,5,0,"Africa","Egypt"
"ESP",2015-12-01,32,885,426,132,3874,1900,6.9,"Europe","Spain"
"ETH",2015-12-01,0,3,1,0,3,1,0,"Africa","Ethiopia"
"FIN",2015-12-01,0,9,5,0,81,42,0,"Europe","Finland"
"FRA",2015-12-01,8,397,199,42,2541,1333,3.2,"Europe","France"
"GBR",2015-12-01,0,231,119,115,2539,1345,8.6,"Europe","United Kingdom"
"GRC",2015-12-01,0,1,1,0,38,25,0,"Europe","Greece"
"IND",2015-12-01,0,2,1,0,34,20,0,"Asia","India"
"IRL",2015-12-01,0,67,36,66,978,484,13.6,"Europe","Ireland"
"ITA",2015-12-01,4,124,61,125,1043,543,23,"Europe","Italy"
"JPN",2015-12-01,0,18,8,0,43,25,0,"Asia","Japan"
"KOR",2015-12-01,0,3,2,1,22,12,8.3,"Asia","South Korea"
"LTU",2015-12-01,0,6,3,0,30,15,0,"Europe","Lithuania"
"LUX",2015-12-01,0,8,3,0,65,30,0,"Europe","Luxembourg"
"MAR",2015-12-01,0,7,3,0,43,20,0,"Africa","Morocco"
"MEX",2015-12-01,0,6,3,0,27,17,0,"Americas","Mexico"
"MUS",2015-12-01,0,2,2,0,2,2,0,"Africa","Mauritius"
"NGA",2015-12-01,0,3,1,0,5,2,0,"Africa","Nigeria"
"NLD",2015-12-01,0,30,16,0,369,200,0,"Europe","Netherlands"
"NULL",2015-12-01,0,26,20,32,209,133,24.1,"Other","Other"
"PHL",2015-12-01,0,2,1,0,2,1,0,"Asia","Philippines"
"POL",2015-12-01,0,26,10,0,200,95,0,"Europe","Poland"
"ROU",2015-12-01,0,6,3,0,103,51,0,"Europe","Romania"
"RUS",2015-12-01,0,13,7,4,179,96,4.2,"Europe","Russia"
"SGP",2015-12-01,0,7,3,0,11,5,0,"Asia","Singapore"
"SRB",2015-12-01,0,2,1,0,11,5,0,"Europe","Serbia"
"SWE",2015-12-01,0,9,5,0,197,125,0,"Europe","Sweden"
"THA",2015-12-01,0,2,1,0,5,3,0,"Asia","Thailand"
"TMP",2015-12-01,0,3,1,0,3,1,0,"Other","Other"
"TUN",2015-12-01,0,2,1,0,11,6,0,"Africa","Tunisia"
"TUR",2015-12-01,0,4,2,1,49,26,3.8,"Europe","Turkey"
"TWN",2015-12-01,0,2,1,0,7,4,0,"Asia","Taiwan"
"UKR",2015-12-01,0,7,4,0,20,10,0,"Europe","Ukraine"
"USA",2015-12-01,0,39,17,0,333,180,0,"Americas","United States"
"ZAF",2015-12-01,0,2,1,0,7,3,0,"Africa","South Africa"
"AGO",2016-01-01,18,49,30,22,124,77,28.6,"Africa","Angola"
"AND",2016-01-01,1,2,1,1,2,1,100,"Europe","Andorra"
"ARE",2016-01-01,0,1,1,0,1,1,0,"Africa","United Arab Emirates"
"ARG",2016-01-01,0,15,6,0,41,20,0,"Americas","Argentina"
"ARM",2016-01-01,0,2,1,0,4,2,0,"Europe","Armenia"
"AUS",2016-01-01,0,8,4,0,60,31,0,"Asia","Australia"
"AUT",2016-01-01,0,6,3,0,176,112,0,"Europe","Austria"
"BEL",2016-01-01,4,62,34,21,474,245,8.6,"Europe","Belgium"
"BGR",2016-01-01,0,2,2,0,8,6,0,"Europe","Bulgaria"
"BLR",2016-01-01,0,1,1,0,13,9,0,"Europe","Belarus"
"BRA",2016-01-01,13,138,69,18,444,217,8.3,"Americas","Brazil"
"CHE",2016-01-01,1,22,12,1,299,146,0.7,"Europe","Switzerland"
"CHL",2016-01-01,0,1,1,0,17,8,0,"Americas","Chile"
"CHN",2016-01-01,3,53,31,15,393,200,7.5,"Asia","China"
"COL",2016-01-01,0,4,2,0,12,6,0,"Americas","Colombia"
"CPV",2016-01-01,1,2,1,1,5,3,33.3,"Africa","Cape Verde"
"CYP",2016-01-01,0,1,1,0,1,1,0,"Europe","Cyprus"
"CZE",2016-01-01,0,3,3,0,49,31,0,"Europe","Czechia"
"DEU",2016-01-01,10,129,85,12,1045,584,2.1,"Europe","Germany"
"DNK",2016-01-01,0,1,1,0,71,40,0,"Europe","Denmark"
"DZA",2016-01-01,1,3,2,1,35,28,3.6,"Africa","Algeria"
"ECU",2016-01-01,1,3,2,1,5,3,33.3,"Americas","Ecuador"
"EGY",2016-01-01,0,4,3,0,10,8,0,"Africa","Egypt"
"ESP",2016-01-01,22,322,165,154,4196,2065,7.5,"Europe","Spain"
"EST",2016-01-01,0,1,1,0,9,4,0,"Europe","Estonia"
"FIN",2016-01-01,1,28,17,1,109,59,1.7,"Europe","Finland"
"FRA",2016-01-01,10,261,141,52,2802,1474,3.5,"Europe","France"
"GBR",2016-01-01,4,201,113,119,2740,1458,8.2,"Europe","United Kingdom"
"GRC",2016-01-01,0,9,8,0,47,33,0,"Europe","Greece"
"HRV",2016-01-01,0,2,1,0,15,9,0,"Europe","Croatia"
"IND",2016-01-01,0,5,3,0,39,23,0,"Asia","India"
"IRL",2016-01-01,1,60,32,67,1038,516,13,"Europe","Ireland"
"IRN",2016-01-01,0,2,1,1,18,13,7.7,"Africa","Iran"
"ISR",2016-01-01,1,7,4,1,238,128,0.8,"Africa","Israel"
"ITA",2016-01-01,11,176,92,136,1219,635,21.4,"Europe","Italy"
"JOR",2016-01-01,0,1,1,0,10,7,0,"Africa","Jordan"
"JPN",2016-01-01,0,10,4,0,53,29,0,"Asia","Japan"
"KEN",2016-01-01,0,3,1,0,3,1,0,"Africa","Kenya"
"KOR",2016-01-01,1,11,6,2,33,18,11.1,"Asia","South Korea"
"LTU",2016-01-01,0,3,2,0,33,17,0,"Europe","Lithuania"
"LVA",2016-01-01,0,1,1,0,25,14,0,"Europe","Latvia"
"MAR",2016-01-01,3,23,10,3,66,30,10,"Africa","Morocco"
"MEX",2016-01-01,0,4,2,0,31,19,0,"Americas","Mexico"
"MOZ",2016-01-01,1,3,3,2,16,9,22.2,"Africa","Mozambique"
"MYS",2016-01-01,0,2,1,0,11,6,0,"Asia","Malaysia"
"NLD",2016-01-01,2,42,25,2,411,225,0.9,"Europe","Netherlands"
"NOR",2016-01-01,0,5,4,0,91,49,0,"Europe","Norway"
"NULL",2016-01-01,0,39,33,32,248,166,19.3,"Other","Other"
"OMN",2016-01-01,3,10,4,3,15,7,42.9,"Africa","Oman"
"PER",2016-01-01,0,5,3,0,7,5,0,"Americas","Peru"
"POL",2016-01-01,1,51,23,1,251,118,0.8,"Europe","Poland"
"ROU",2016-01-01,1,18,10,1,121,61,1.6,"Europe","Romania"
"RUS",2016-01-01,0,17,9,4,196,105,3.8,"Europe","Russia"
"SAU",2016-01-01,3,6,4,3,11,7,42.9,"Africa","Saudi Arabia"
"SRB",2016-01-01,0,2,2,0,13,7,0,"Europe","Serbia"
"SVN",2016-01-01,0,1,1,0,21,12,0,"Europe","Slovenia"
"SWE",2016-01-01,0,15,7,0,212,132,0,"Europe","Sweden"
"THA",2016-01-01,0,2,1,0,7,4,0,"Asia","Thailand"
"TUN",2016-01-01,0,2,1,0,13,7,0,"Africa","Tunisia"
"TUR",2016-01-01,4,10,6,5,59,32,15.6,"Europe","Turkey"
"TWN",2016-01-01,0,2,1,0,9,5,0,"Asia","Taiwan"
"UKR",2016-01-01,1,7,4,1,27,14,7.1,"Europe","Ukraine"
"USA",2016-01-01,0,45,24,0,378,204,0,"Americas","United States"
"VEN",2016-01-01,1,1,1,1,15,8,12.5,"Americas","Venezuela"
"ZAF",2016-01-01,3,9,6,3,16,9,33.3,"Africa","South Africa"
"AGO",2016-02-01,28,50,34,50,174,111,45,"Africa","Angola"
"ARE",2016-02-01,1,1,1,1,2,2,50,"Africa","United Arab Emirates"
"ARG",2016-02-01,0,9,4,0,50,24,0,"Americas","Argentina"
"ARM",2016-02-01,0,2,1,0,6,3,0,"Europe","Armenia"
"AUS",2016-02-01,9,22,12,9,82,43,20.9,"Asia","Australia"
"AUT",2016-02-01,0,92,48,0,268,160,0,"Europe","Austria"
"BEL",2016-02-01,6,93,46,27,567,291,9.3,"Europe","Belgium"
"BGR",2016-02-01,0,2,1,0,10,7,0,"Europe","Bulgaria"
"BIH",2016-02-01,0,2,1,0,2,1,0,"Europe","Bosnia & Herzegovina"
"BRA",2016-02-01,19,107,54,37,551,271,13.7,"Americas","Brazil"
"CHE",2016-02-01,8,75,39,9,374,185,4.9,"Europe","Switzerland"
"CHL",2016-02-01,0,12,6,0,29,14,0,"Americas","Chile"
"CHN",2016-02-01,25,144,69,40,537,269,14.9,"Asia","China"
"COL",2016-02-01,0,10,3,0,22,9,0,"Americas","Colombia"
"CPV",2016-02-01,2,3,2,3,8,5,60,"Africa","Cape Verde"
"CZE",2016-02-01,0,2,1,0,51,32,0,"Europe","Czechia"
